sex,kanji,hiragana,romaji
male,亜喜生,あきお,Akio
male,亜喜彦,あきひこ,Akihiko
male,亜喜良,あきら,Akira
male,亜希人,あきひと,Akihito
male,亜希彦,あきひこ,Akihiko
male,亜季彦,あきひこ,Akihiko
male,亜紀彦,あきひこ,Akihiko
male,亜記彦,あきひこ,Akihiko
male,亜貴彦,あきひこ,Akihiko
male,亜樹彦,あきひこ,Akihiko
male,亜彦,つぐひこ,Tsuguhiko
male,亜木彦,あきひこ,Akihiko
male,亜由年,あゆとし,Ayutoshi
male,亜玲,つぐよし,Tsuguyoshi
male,亜浪,あろう,Arou
male,阿知之助,あちのすけ,Achinosuke
male,阿都志,あつし,Atsushi
male,阿良太,あらた,Arata
male,哀浪,あいろう,Airou
male,愛一郎,あいいちろう,Aiichirō
male,愛介,あいすけ,Aisuke
male,愛義,あいよし,Aiyoshi
male,愛義,あきよし,Akiyoshi
male,愛三朗,あいざぶろう,Aizaburou
male,愛三郎,あいさぶろう,Aisaburou
male,愛三郎,あいざぶろう,Aizaburou
male,愛次朗,あいじろう,Aijirou
male,愛次郎,あいじろう,Aijirou
male,愛治郎,あいじろう,Aijirou
male,愛赦,あいじろう,Aijirou
male,愛仁,あきのり,Akinori
male,愛仁,あきひと,Akihito
male,愛仁,さねさと,Sanesato
male,愛仁,つねひと,Tsunehito
male,愛仁,ひでと,Hideto
male,愛仁,ひでのり,Hidenori
male,愛仁,やすのり,Yasunori
male,愛仁,やすひと,Yasuhito
male,愛仁,よしのり,Yoshinori
male,愛仁,よしひと,Yoshihito
male,愛太郎,あいたろう,Aitarou
male,愛二朗,あいじろう,Aijirou
male,愛二郎,あいじろう,Aijirou
male,愛日朗,あいにちろう,Ainichirō
male,愛之介,あいのすけ,Ainosuke
male,愛之助,あいのすけ,Ainosuke
male,愛之丞,あいのすけ,Ainosuke
male,愛之輔,あいのすけ,Ainosuke
male,愛之佑,あいのすけ,Ainosuke
male,愛之祐,あいのすけ,Ainosuke
male,愛彦,あいひこ,Aihiko
male,愛彦,なるひこ,Naruhiko
male,愛彦,よしひこ,Yoshihiko
male,愛明,よしあき,Yoshiaki
male,愛理澄,まりと,Marito
male,愛朗,よしろう,Yoshirou
male,愛郎,あいろう,Airou
male,葵一,きいち,Kiichi
male,茜彦,あかひこ,Akahiko
male,穐一,あきいち,Akiichi
male,穐垢,あきよし,Akiyoshi
male,悪太郎,あくたろう,Akutarou
male,渥嘉,あつよし,Atsuyoshi
male,渥慶,あつよし,Atsuyoshi
male,渥好,あつよし,Atsuyoshi
male,渥孝,あつたか,Atsutaka
male,渥夫,あつお,Atsuo
male,渥和,あつよし,Atsuyoshi
male,旭一,あさかず,Asakazu
male,旭宏,あきひろ,Akihiro
male,旭三郎,きょくさぶろう,Kyokusaburou
male,旭児,あさひこ,Asahiko
male,旭彦,あきひこ,Akihiko
male,鯵之介,あじのすけ,Ajinosuke
male,鯵之助,あじのすけ,Ajinosuke
male,鯵之丞,あじのすけ,Ajinosuke
male,鯵之甫,あじのすけ,Ajinosuke
male,鯵之輔,あじのすけ,Ajinosuke
male,鯵之佑,あじのすけ,Ajinosuke
male,鯵之祐,あじのすけ,Ajinosuke
male,鯵之亮,あじのすけ,Ajinosuke
male,梓太郎,したろう,Shitarou
male,梓楼,しろう,Shirou
male,絢一,あやひと,Ayahito
male,絢一朗,けんいちろう,Ken'ichirō
male,絢一郎,けんいちろう,Ken'ichirō
male,絢壱朗,けんいちろう,Ken'ichirō
male,絢壱郎,けんいちろう,Ken'ichirō
male,絢三,けんぞう,Kenzou
male,絢市朗,けんいちろう,Ken'ichirō
male,絢市郎,けんいちろう,Ken'ichirō
male,絢赦,けんじろう,Kenjirou
male,絢多朗,けんたろう,Kentarou
male,絢多郎,けんたろう,Kentarou
male,絢太朗,けんたろう,Kentarou
male,絢太郎,けんたろう,Kentarou
male,絢二朗,けんじろう,Kenjirou
male,絢二郎,けんじろう,Kenjirou
male,絢之介,けんのすけ,Kennosuke
male,絢之介,じゅんのすけ,Junnosuke
male,絢之助,けんのすけ,Kennosuke
male,絢之丞,けんのすけ,Kennosuke
male,絢之甫,けんのすけ,Kennosuke
male,絢之輔,けんのすけ,Kennosuke
male,絢之佑,けんのすけ,Kennosuke
male,絢之祐,けんのすけ,Kennosuke
male,絢之亮,けんのすけ,Kennosuke
male,絢彦,あやひこ,Ayahiko
male,絢夫,あやお,Ayao
male,綾一,あやひと,Ayahito
male,綾一,りょういち,Ryouichi
male,綾一郎,りょういちろう,Ryouichirō
male,綾児,りょうじ,Ryouji
male,綾人,あやと,Ayato
male,綾太,あやた,Ayata
male,綾太,りょうた,Ryouta
male,綾太郎,あやたろう,Ayatarou
male,綾太郎,りょうたろう,Ryoutarou
male,綾之助,あやのすけ,Ayanosuke
male,綾彦,あやひこ,Ayahiko
male,鮎太郎,あゆたろう,Ayutarou
male,鮎彦,あゆひこ,Ayuhiko
male,鮎郎,あゆろう,Ayurou
male,安一郎,やすいちろう,Yasuichirō
male,安紀,やすき,Yasuki
male,安紀彦,あきひこ,Akihiko
male,安儀,やすよし,Yasuyoshi
male,安義,やすよし,Yasuyoshi
male,安吉郎,やすきちろう,Yasukichirō
male,安芸道,あきみち,Akimichi
male,安五衛,やすごえい,Yasugoei
male,安五郎,やすごろう,Yasugorou
male,安克,やすよし,Yasuyoshi
male,安左エ門,やすざえもん,Yasuzaemon
male,安左衛門,やすざえもん,Yasuzaemon
male,安三郎,やすさぶろう,Yasusaburou
male,安次郎,やすじろう,Yasujirou
male,安治郎,やすじろう,Yasujirou
male,安赦,やすじろう,Yasujirou
male,安十郎,やすじゅうろう,Yasujuurou
male,安俊,やすとし,Yasutoshi
male,安祥,やすよし,Yasuyoshi
