name,male,frequency_score
太郎,0.925,1.0
大輔,1.0,0.966
裕子,0.008,0.971
陽子,0.009,0.97
直樹,0.991,0.966
智子,0.0,0.967
達也,1.0,0.965
健太,0.991,0.972
恵子,0.0,0.961
哲也,1.0,0.958
由美子,0.011,0.957
洋子,0.029,0.966
久美子,0.0,0.954
真由美,0.012,0.956
和子,0.0,0.957
翔太,1.0,0.957
純子,0.0,0.96
拓也,0.987,0.954
和也,1.0,0.956
美穂,0.0,0.972
直子,0.0,0.948
秀樹,0.986,0.943
あゆみ,0.021,0.967
京子,0.0,0.952
ひとみ,0.013,0.953
健一,1.0,0.965
香織,0.026,0.992
幸子,0.0,0.966
健太郎,0.969,0.943
佐藤,0.646,0.946
優子,0.027,0.951
恵美,0.029,0.947
明子,0.043,0.954
順子,0.016,0.945
由美,0.028,0.952
一郎,0.979,0.972
美香,0.029,0.998
典子,0.0,0.937
直人,0.955,0.951
大地,0.952,0.944
めぐみ,0.0,0.954
大樹,0.971,0.953
明美,0.014,0.956
直美,0.053,0.937
裕美,0.015,0.949
貴子,0.017,0.947
みどり,0.0,0.942
和美,0.14,0.943
悦子,0.0,0.938
雅子,0.0,0.938
真理子,0.0,0.936
大介,0.981,0.937
田中,0.769,0.948
紀子,0.02,0.933
正人,0.963,0.943
恭子,0.078,0.939
雄大,1.0,0.928
愛子,0.0,0.937
玲子,0.017,0.947
かおり,0.017,0.99
美智子,0.0,0.924
まゆみ,0.0,0.935
直也,1.0,0.925
理恵,0.0,0.943
浩一,1.0,0.938
さくら,0.103,0.944
綾子,0.0,0.933
由佳,0.025,0.92
山田,0.717,0.932
大輝,1.0,0.948
祥子,0.119,0.949
浩二,1.0,0.933
貴之,1.0,0.928
和彦,0.977,0.924
佳子,0.0,0.937
知子,0.0,0.925
博之,0.933,0.927
美和,0.07,0.945
みゆき,0.018,0.945
亮太,0.979,0.936
健二,0.979,0.933
尚子,0.0,0.929
恵美子,0.0,0.921
桃子,0.037,0.962
ゆかり,0.052,0.947
祐子,0.048,0.925
由紀子,0.0,0.921
たかし,0.836,0.943
千尋,0.111,0.93
ゆうき,0.818,0.951
真理,0.083,0.947
淳一,1.0,0.92
拓海,0.977,0.927
美咲,0.024,0.963
麻美,0.024,0.923
美樹,0.083,0.934
