sex,kanji,hiragana,romaji
Male,玉井和善,たまいかずよし,tamai kazuyoshi
Male,滝本明史,たきもとあきひと,takimoto akihito
Male,赤石活也,あかいしかつや,akaishi katsuya
Male,野間慶丞,のまけいすけ,noma keisuke
Male,菊田昌廣,きくたまさひろ,kikuta masahiro
Female,岩間智子,いわまさとこ,iwama satoko
Female,秋山小奈永,あきやまさなえ,akiyama sanae
Male,能勢政義,のせまさひろ,nose masahiro
Male,平岩和将,ひらいわかずゆき,hiraiwa kazuyuki
Female,白木由花,しらきゆか,shiraki yuka
Female,臼田説子,うすだあきこ,usuda akiko
Female,藤原佐津希,ふじわらさつき,fujiwara satsuki
Male,合田薫明,ごうだしげあき,gouda shigeaki
Male,森井昂右,もりいこうすけ,morii kousuke
Male,湯本紘尚,ゆもとひろたか,yumoto hirotaka
Male,梶山祐和,かじやままさかず,kajiyama masakazu
Male,及川教勤,おいかわたかのり,oikawa takanori
Female,森脇佐都紀,もりわきさつき,moriwaki satsuki
Male,本田広嗣,ほんだひろつぐ,honda hirotsugu
Male,高崎聰行,たかさきとしゆき,takasaki toshiyuki
Female,川嶋紅葉,かわしまくれは,kawashima kureha
Male,佐藤剛冶,さとうたかはる,satou takaharu
Female,諸橋玲果,もろはしれいか,morohashi reika
Male,石野有祐,いしのゆうすけ,ishino yusuke
Female,杉貴実栄,すぎきみえ,sugi kimie
Female,池野悠果,いけのゆか,ikeno yuka
Female,小西佳永,こにしかな,konishi kana
Male,北島暢史,きたじままさし,kitajima masashi
Male,奥村隆導,おくむらたかみち,okumura takamichi
Male,蛭田希明,ひるたのりあき,hiruta noriaki
Female,君島香代子,きみじまかよこ,kimijima kayoko
Male,横田高史,よこたたかひと,yokota takahito
Female,栗山清加,くりやまきよか,kuriyama kiyoka
Female,新美恵莉奈,にいみえりな,niimi erina
Male,二木泰孝,にきひろたか,niki hirotaka
Female,作田知衣美,さくたちえみ,sakuta chiemi
Male,河内昌祥,かわちまさひろ,kawachi masahiro
Male,守屋登志之,もりやとしゆき,moriya toshiyuki
Male,宮里経司,みやざとたかし,miyazato takashi
Male,多賀年緒,たがとしお,taga toshio
Female,柳原喜代巳,やなぎはらきよみ,yanagihara kiyomi
Female,長屋知華子,ながやちかこ,nagaya chikako
Female,根岸映葉,ねぎしあきよ,negishi akiyo
Female,佐々木悠華,ささきゆか,sasaki yuka
Female,高岡宇玲,たかおかひろえ,takaoka hiroe
Male,長坂康志,ながさかこうじ,nagasaka kouji
Male,山谷貞,さんこくただし,sankoku tadashi
Female,内田香緒里,うちだかおり,uchida kaori
Female,稲川左智枝,いながわさちえ,inagawa sachie
Male,倉島才幸,くらしまとしゆき,kurashima toshiyuki
Female,富田史歌,とみたふみか,tomita fumika
Male,井川宣美,いがわのぶよし,igawa nobuyoshi
Female,北条公見子,ほうじょうくみこ,houjixyou kumiko
Female,西本花乃,にしもとかの,nishimoto kano
Male,梶本嘉政,かじもとよしまさ,kajimoto yoshimasa
Male,金光正仁,かねみつまさひと,kanemitsu masahito
Female,相田七栄,あいだななえ,aida nanae
Female,坂本唱美,さかもとまさみ,sakamoto masami
Male,大垣祥寛,おおがきあきひろ,oogaki akihiro
Male,浜本晟人,はまもとあきと,hamamoto akito
Male,浅岡勝成,あさおかかつしげ,asaoka katsushige
Male,河原両太,かわらりょうた,kawara ryouta
Male,安野善紀,やすのよしのり,yasuno yoshinori
Male,北口宜明,きたぐちなおあき,kitaguchi naoaki
Female,新田智弥,しんでんさとみ,shinden satomi
Female,玉田一翔,たまだかずは,tamada kazuha
Male,早野允郊,はやのまさひろ,hayano masahiro
Female,花田朱代,はなだあきよ,hanada akiyo
Female,溝上研子,みぞかみあきこ,mizokami akiko
Male,石毛征良,いしげまさよし,ishige masayoshi
Female,工藤智慧,くどうともえ,kudou tomoe
Female,溝上嘉依子,みぞかみかよこ,mizokami kayoko
Male,徳丸知,とくまるさとる,tokumaru satoru
Female,柏原史都子,かしわらしずこ,kashiwara shizuko
Male,鳥越利啓,とりごえとしひろ,torigoe toshihiro
Female,平塚万須美,ひらつかますみ,hiratsuka masumi
Male,熊木証,くまきしょう,kumaki shou
Male,宮崎正司,みやざきただし,miyazaki tadashi
Female,松平延美,まつだいらえみ,matsudaira emi
Male,錦織慶壮,にしおりけいぞう,nishiori keizou
Male,波多野洋仁,はたのひろのり,hatano hironori
Male,田坂州禎,たさかくによし,tasaka kuniyoshi
Male,西野将成,にしのまさあき,nishino masaki
Female,島津茂木,しまずのりこ,shimazu noriko
Male,岡部剛朗,おかべたけろう,okabe takerou
Male,出口飛流,でぐちたかはる,deguchi takaharu
